First Name,Last Name,Phone Number,Age,Experience,Email,Role,Skillset1,Skillset2,Skillset3
Amit,Abhinav,8454715421,25,2,amitabhinav@gmail.com,DevOps engineer,Linux ,DBMS,Cloud
Naresh,Bobby,9724140111,35,10,nareshbobby@gmail.com,Frontend developer,HTML/CSS,Python,Intrusion detection
Rajat,Renu,6187751426,34,10,rajatrenu@gmail.com,IoT solutions architect,API automation and testing ,ReactJS,AI/ML
Aarav,Vinod,9711321506,32,0,aaravvinod@gmail.com,Security Analyst, Network security control,Node.js,Intrusion detection
Savita,Rajesh,8406071249,30,0,savitarajesh@gmail.com,Data scientist,python,Controls and frameworks ,Intrusion detection
Vijay,Prakash,8484612320,33,0,vijayprakash@gmail.com,Cyber security,Scripting,DBMS, HR Management knowledge and expertise
Sonam,Neeraj,6261871246,35,10,sonamneeraj@gmail.com,Machine learning engineer,Mathematics and Statistics,ReactJS,Cloud
Alice,Roshni,6343114586,34,10,aliceroshni@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,Data mining
Vinay,Anjana,8798386635,24,1,vinayanjana@gmail.com,Data scientist,python,DBMS, HR Management knowledge and expertise
Riya,Pramod,6413301364,30,0,riyapramod@gmail.com,DevOps engineer,Linux ,Node.js,DBMS
Kavita,Rajendra,8404613712,33,0,kavitarajendra@gmail.com,Frontend developer,HTML/CSS,Data Analysis and Visualization,pipeline planning
Santosh,Abhinav,6161688273,32,9,santoshabhinav@gmail.com,DevOps engineer,Linux ,Python,Data mining
Subhash,Kavita,9574513414,34,0,subhashkavita@gmail.com,Machine learning engineer,Mathematics and Statistics,Python,AI/ML
John,Alice,9450657846,30,7,johnalice@gmail.com,Blockchain engineer,Cryptography,Node.js,pipeline planning
Suresh,Renu,6801043608,31,0,sureshrenu@gmail.com,DevOps engineer,Linux , Data Structures,Data mining
Neetu,Bobby,6656823922,29,6,neetubobby@gmail.com,HR,Communication skills,DBMS, HR Management knowledge and expertise
Russell,Priyanka,6332744708,34,0,russellpriyanka@gmail.com,Frontend developer,HTML/CSS,Big Data,Java/python
Ritu,Eve,6450444523,24,0,ritueve@gmail.com,Data scientist,Python, Administrative expertise,AI/ML
Naresh,Savita,6676695257,25,2,nareshsavita@gmail.com,Blockchain engineer,Cryptography,Flask,Java/python
Anjali,Anika,6135881848,28,0,anjalianika@gmail.com,DevOps engineer,Linux , Administrative expertise,JavaScript
Sunil,Alice,9533031808,23,0,sunilalice@gmail.com,DevOps engineer,Linux ,ReactJS,Java/python
Vinay,Shruti,8860927864,27,4,vinayshruti@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,AI/ML
Reena,Parul,8170054677,32,0,reenaparul@gmail.com,Cyber security,Scripting,Big Data,DBMS
Doris,Anjana,6630285308,25,0,dorisanjana@gmail.com,Machine learning engineer,Mathematics and Statistics,DBMS,Cloud
Eve,Vinay,6246359097,28,0,evevinay@gmail.com,Data scientist,python, Administrative expertise,Java/python
Rajendra,Kavita,6640827772,24,0,rajendrakavita@gmail.com,Data scientist,Python,ReactJS,JavaScript
Sonam,Pradeep,6541744417,32,0,sonampradeep@gmail.com,Data scientist,python, Administrative expertise, HR Management knowledge and expertise
Riya,Doris,9973964962,25,0,riyadoris@gmail.com,Machine learning engineer,Mathematics and Statistics,Flask,C/JavaScript/Python
Abhinav,Vikas,8209675809,23,0,abhinavvikas@gmail.com,Blockchain engineer,Cryptography, Data Structures,Intrusion detection
Sunil,Vandana,8569170963,25,0,sunilvandana@gmail.com,Blockchain engineer,Cryptography,Big Data,pipeline planning
Subhash,Vandana,9493839021,27,0,subhashvandana@gmail.com,Security Analyst, Network security control,Big Data,Cloud
Bob,Santosh,8746141428,30,0,bobsantosh@gmail.com,IoT solutions architect,API automation and testing ,DBMS,pipeline planning
Vijay,Neeraj,8729319789,26,0,vijayneeraj@gmail.com,AI/ML architect,Machine Learning Expertise,Flask,Java/python
Priyanka,Sumit,8606326827,31,0,priyankasumit@gmail.com,HR,Communication skills,ReactJS,Java/python
Meera,Tanisha,6634190357,26,3,meeratanisha@gmail.com,Data scientist,python,Big Data,pipeline planning
Reena,Arjun,6788921018,30,7,reenaarjun@gmail.com,Cloud architect,Operating systems, Data Structures,C/JavaScript/Python
Dinesh,Santosh,9595498163,33,10,dineshsantosh@gmail.com,Cyber security,Scripting,ReactJS,DBMS
Ajay,Alice,6180059058,25,2,ajayalice@gmail.com,AI/ML architect,Machine Learning Expertise,Controls and frameworks ,Intrusion detection
Sheetal,Vinay,9163256025,33,0,sheetalvinay@gmail.com,Data scientist,python,Big Data,Java/python
Deepak,Eve,8701489350,24,1,deepakeve@gmail.com,DevOps engineer,Linux ,Node.js,JavaScript
Aarti,Bradley,9977938079,31,8,aartibradley@gmail.com,Frontend developer,HTML/CSS,ReactJS, HR Management knowledge and expertise
Rakesh,Vinay,9198461873,29,0,rakeshvinay@gmail.com,Machine learning engineer,Mathematics and Statistics, Data Structures,AI/ML
Savita,Kavita,6567764369,24,0,savitakavita@gmail.com,Frontend developer,HTML/CSS,Big Data,Data mining
Ankita,Manish,9235014721,25,0,ankitamanish@gmail.com,Frontend developer,HTML/CSS,Operating systems,Intrusion detection
Sangeeta,Parul,9493850708,32,9,sangeetaparul@gmail.com,Data scientist,python,Node.js,C/JavaScript/Python
Juhi,Amit,6257160679,25,0,juhiamit@gmail.com,AI/ML architect,Machine Learning Expertise,Big Data, HR Management knowledge and expertise
Ankita,Priya,9841198594,28,0,ankitapriya@gmail.com,Cloud architect,Operating systems,Big Data,C/JavaScript/Python
Pooja,Kirti,9713492574,32,0,poojakirti@gmail.com,HR,Communication skills,Flask,Cloud
Harsh,Rohan,9109201217,23,0,harshrohan@gmail.com,HR,Communication skills,DBMS,Intrusion detection
Sonam,Shivangi,9845362455,23,0,sonamshivangi@gmail.com,Data scientist,Python,ReactJS, HR Management knowledge and expertise
Ria,Ankita,8993528559,26,3,riaankita@gmail.com,Machine learning engineer,Mathematics and Statistics,ReactJS,DBMS
Russell,Alice,9725329463,33,10,russellalice@gmail.com,DevOps engineer,Linux ,Flask,pipeline planning
Aarav,Ashish,8628278044,34,0,aaravashish@gmail.com,Machine learning engineer,Mathematics and Statistics, Data Structures,Cloud
Alka,Arjun,9944447965,26,0,alkaarjun@gmail.com,AI/ML architect,Machine Learning Expertise,Data Analysis and Visualization,C/JavaScript/Python
Sweta,Ria,9291139734,35,10,swetaria@gmail.com,Security Analyst, Network security control,Controls and frameworks ,CI/CD pipelines
Ashish,Ramesh,6791484718,27,4,ashishramesh@gmail.com,Frontend developer,HTML/CSS, Administrative expertise,Java/python
Sunil,Riya,6902289390,28,0,sunilriya@gmail.com,DevOps engineer,Linux ,Python,Java/python
Bradley,Ashish,9808766533,33,0,bradleyashish@gmail.com,Cyber security,Scripting,Data Analysis and Visualization,C/JavaScript/Python
Abhinav,Sanjay,9471251757,27,0,abhinavsanjay@gmail.com,Blockchain engineer,Cryptography,Operating systems,C/JavaScript/Python
Priyanka,Ravi,8319198608,25,2,priyankaravi@gmail.com,Cloud architect,Operating systems,Networking and data centres,AI/ML
Rajendra,Akshara,8836039952,26,3,rajendraakshara@gmail.com,Security Analyst, Network security control,DBMS,pipeline planning
Mahesh,Vinod,9752962259,23,0,maheshvinod@gmail.com,Machine learning engineer,Mathematics and Statistics,Networking and data centres,Cloud
Tanisha,Aarav,6263901603,26,0,tanishaaarav@gmail.com,Cloud architect,Operating systems,Controls and frameworks ,DBMS
Arjun,Sweta,9246899328,32,0,arjunsweta@gmail.com,Machine learning engineer,Mathematics and Statistics,DBMS,Data mining
Shivangi,Sunil,8344374167,35,10,shivangisunil@gmail.com,HR,Communication skills,Flask,Data mining
Kamal,Sanjana,9942952327,28,5,kamalsanjana@gmail.com,Data scientist,python, Administrative expertise,CI/CD pipelines
Sheetal,Alexis,8407212948,23,0,sheetalalexis@gmail.com,Machine learning engineer,Mathematics and Statistics,Node.js,CI/CD pipelines
Vinod,Roshni,8428867111,25,0,vinodroshni@gmail.com,Blockchain engineer,Cryptography,DBMS,pipeline planning
Neeraj,Tanvi,6767050740,27,0,neerajtanvi@gmail.com,AI/ML architect,Machine Learning Expertise,Big Data,DBMS
Sheetal,Renu,6876874069,32,9,sheetalrenu@gmail.com,Blockchain engineer,Cryptography,Data Analysis and Visualization,Algorithms and frameworks
John,Manish,8823231647,30,0,johnmanish@gmail.com,Blockchain engineer,Cryptography,Python,pipeline planning
Sandeep,Aarav,9384117805,35,0,sandeepaarav@gmail.com,Data scientist,python, Data Structures,Intrusion detection
Anika,Shruti,6491250825,25,2,anikashruti@gmail.com,Cloud architect,Operating systems,Networking and data centres,DBMS
Avinash,Parul,6826727994,29,6,avinashparul@gmail.com,Data scientist,python,ReactJS,C/JavaScript/Python
Aarti,Vijay,8857931187,24,0,aartivijay@gmail.com,HR,Communication skills,ReactJS,CI/CD pipelines
Vivek,Vidya,8312193975,34,10,vivekvidya@gmail.com,Blockchain engineer,Cryptography, Data Structures,Algorithms and frameworks
Sumit,Shruti,6442905258,25,2,sumitshruti@gmail.com,Security Analyst, Network security control, Data Structures,JavaScript
Rakesh,Harsh,8390543149,25,0,rakeshharsh@gmail.com,Data scientist,Python,DBMS,Java/python
Anjana,Raju,8339825474,34,0,anjanaraju@gmail.com,HR,Communication skills,Controls and frameworks , HR Management knowledge and expertise
Anjali,Ishita,6730478481,23,0,anjaliishita@gmail.com,Cloud architect,Operating systems,Node.js,Cloud
Riya,Bradley,6465135962,29,6,riyabradley@gmail.com,Cloud architect,Operating systems,Python,CI/CD pipelines
